Applicant Name,Funding Band,Amount,Year,Period,Type
Modern Art Oxford,2,892347,2015,2015-2018,Fund
Modern Masterpieces,1,200153,2015,2015-2018,Fund
Modern Poetry in Translation,1,40000,2015,2015-2018,Fund
More Music,1,105608,2015,2015-2018,Fund
Motionhouse,2,338806,2015,2015-2018,Fund
Multistory,1,140811,2015,2015-2018,Fund
Museum of East Anglian Life,1,0,2015,2015-2018,Fund
Museum of English Rural Life and Reading Museum Partnership,1,0,2015,2015-2018,Fund
Museum of London,SSO,244820,2015,2015-2018,Fund
Museum of London,3,1100000,2015,2015-2018,Fund
Music for Youth,1,171840,2015,2015-2018,Fund
Music in the Round,1,142962,2015,2015-2018,Fund
Musiko Musika,1,72914,2015,2015-2018,Fund
Mytime Active,1,0,2015,2015-2018,Fund
National Association for Gallery Education (engage),SSO,229806,2015,2015-2018,Fund
National Centre for Circus Arts,2,341867,2015,2015-2018,Fund
National Criminal Justice Arts Alliance,SSO,0,2015,2015-2018,Fund
National Horseracing Museum,1,0,2015,2015-2018,Fund
National Justice Museum,1,0,2015,2015-2018,Fund
National Opera Studio,1,168221,2015,2015-2018,Fund
National Rural Touring Forum,1,86583,2015,2015-2018,Fund
National Student Drama Festival,1,56542,2015,2015-2018,Fund
National Theatre,3,17217000,2015,2015-2018,Fund
National Youth Choirs of Great Britain,1,107000,2015,2015-2018,Fund
National Youth Jazz Collective,1,124690,2015,2015-2018,Fund
National Youth Jazz Orchestra,1,125000,2015,2015-2018,Fund
National Youth Orchestra of Great Britain,1,250000,2015,2015-2018,Fund
National Youth Theatre of Great Britain,2,305769,2015,2015-2018,Fund
New Art Exchange Ltd,2,502897,2015,2015-2018,Fund
New Contemporaries (1988) Ltd,1,117789,2015,2015-2018,Fund
New International Encounter,1,153323,2015,2015-2018,Fund
New Perspectives Theatre Company,2,302744,2015,2015-2018,Fund
New Wolsey Theatre Company Ltd,2,853028,2015,2015-2018,Fund
New Writing North,2,297123,2015,2015-2018,Fund
New Writing South,1,93191,2015,2015-2018,Fund
