Applicant Name,Funding Band,Amount,Year,Period,Type
Orchestras Live,2,479134,2020,2018-2022,Grant
OTO Projects CIC,1,74933,2020,2018-2022,Grant
Otolith Collective Ltd,1,50290,2020,2018-2022,Grant
Out of Joint,2,426352,2020,2018-2022,Grant
Outside In,1,100000,2020,2018-2022,Grant
Oxford Contemporary Music,1,185783,2020,2018-2022,Grant
Oxford Playhouse Trust,2,379474,2020,2018-2022,Grant
Pagoda Arts,1,44864,2020,2018-2022,Grant
Paines Plough,2,315620,2020,2018-2022,Grant
Palace Theatre Watford Limited,2,790571,2020,2018-2022,Grant
Pallant House Gallery,1,89119,2020,2018-2022,Grant
Paraiso School of Samba,1,60348,2020,2018-2022,Grant
Paraorchestra and Friends,1,249000,2020,2018-2022,Grant
Pavilion Dance South West Ltd,2,386216,2020,2018-2022,Grant
Peckham Platform Ltd,1,75000,2020,2018-2022,Grant
Peepal Tree Press,1,150500,2020,2018-2022,Grant
Peer UK,1,85590,2020,2018-2022,Grant
Pegasus Theatre Trust,2,299973,2020,2018-2022,Grant
Penned in the Margins,1,45000,2020,2018-2022,Grant
Pentabus Arts Ltd,1,187332,2020,2018-2022,Grant
People Express,1,54313,2020,2018-2022,Grant
People United,1,125000,2020,2018-2022,Grant
People's History Museum,2,322000,2020,2018-2022,Grant
People's Palace Projects,1,132145,2020,2018-2022,Grant
Perfect Pitch Musicals Ltd,1,107092,2020,2018-2022,Grant
Performances Birmingham Limited,1,80464,2020,2018-2022,Grant
Peshkar,1,75794,2020,2018-2022,Grant
Philharmonia Limited,3,2042222,2020,2018-2022,Grant
Phoenix Dance Theatre,2,428510,2020,2018-2022,Grant
Photofusion,1,142895,2020,2018-2022,Grant
Photoworks,2,268315,2020,2018-2022,Grant
Pilot Theatre Ltd,2,329720,2020,2018-2022,Grant
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,1105506,2020,2018-2022,Grant
Plymouth Culture,SSO,133000,2020,2018-2022,Grant
Plymouth Music Zone Ltd,1,130000,2020,2018-2022,Grant
Pocklington Arts Centre,1,69500,2020,2018-2022,Grant
PoemsOnTheUnderground,1,52705,2020,2018-2022,Grant
Poet in the City,1,67079,2020,2018-2022,Grant
Poetry London,1,47913,2020,2018-2022,Grant
Poetry Translation Centre Ltd,1,124575,2020,2018-2022,Grant
Polish Expats Association cic,1,97000,2020,2018-2022,Grant
Polka Theatre,2,570219,2020,2018-2022,Grant
Poole Arts Trust Ltd,2,342213,2020,2018-2022,Grant
Pop Up Projects CIC,1,85203,2020,2018-2022,Grant
PopUp Initiative CIC (The NewBridge Project),1,70000,2020,2018-2022,Grant
Portsmouth New Theatre Royal,1,249950,2020,2018-2022,Grant
Prema Arts Centre,1,69258,2020,2018-2022,Grant
Preston City Council,1,225000,2020,2018-2022,Grant
Primary,1,65000,2020,2018-2022,Grant
Prime Theatre,1,87937,2020,2018-2022,Grant
Prism Arts,1,50613,2020,2018-2022,Grant
Project Art Works,1,149676,2020,2018-2022,Grant
Project Phakama UK,1,83101,2020,2018-2022,Grant
Project Space Leeds,2,250000,2020,2018-2022,Grant
Protein Dance Ltd,1,238762,2020,2018-2022,Grant
Proteus Theatre Company,1,68600,2020,2018-2022,Grant
Psappha Limited,1,82000,2020,2018-2022,Grant
PUNCH RECORDS,2,251449,2020,2018-2022,Grant
Punchdrunk,1,226304,2020,2018-2022,Grant
Quarantine,1,160928,2020,2018-2022,Grant
Queen's Hall Arts,1,118147,2020,2018-2022,Grant
Rambert,3,2237000,2020,2018-2022,Grant
Raw Material Music and Media Education,1,117234,2020,2018-2022,Grant
Re:Bourne,3,1294000,2020,2018-2022,Grant
Readipop,1,90000,2020,2018-2022,Grant
Real Ideas Organisation CIC,SSO,875680,2020,2018-2022,Grant
Real Ideas Organisation CIC,1,150000,2020,2018-2022,Grant
Red Earth Theatre Limited,1,100580,2020,2018-2022,Grant
Red Ladder Theatre Company,1,165000,2020,2018-2022,Grant
Redbridge Drama Centre,1,65000,2020,2018-2022,Grant
Redeye (North West Photography Network) Ltd,SSO,87921,2020,2018-2022,Grant
Resonance,1,160277,2020,2018-2022,Grant
Rich Mix Cultural Foundation,2,301738,2020,2018-2022,Grant
Rifco Arts,2,325404,2020,2018-2022,Grant
Ripon Museum Trust,1,140000,2020,2018-2022,Grant
RJC Dance,1,75224,2020,2018-2022,Grant
Rosehill Arts Trust,1,62287,2020,2018-2022,Grant
Roses Theatre Trust,1,85493,2020,2018-2022,Grant
Rosetta Art Centre,1,45000,2020,2018-2022,Grant
Rosie Kay Dance Company,1,150000,2020,2018-2022,Grant
Rotherham Open Arts Renaissance (ROAR),1,70439,2020,2018-2022,Grant
Royal Court Liverpool Trust,1,225000,2020,2018-2022,Grant
Royal Exchange Theatre Company Ltd,3,2332000,2020,2018-2022,Grant
Royal Liverpool Philharmonic,3,2231646,2020,2018-2022,Grant
Royal Opera House,3,24028840,2020,2018-2022,Grant
Royal Opera House,SSO,726841,2020,2018-2022,Grant
Royal Philharmonic Orchestra Ltd,2,946394,2020,2018-2022,Grant
Royal Shakespeare Company,3,14984000,2020,2018-2022,Grant
RTYDS Ltd,SSO,185000,2020,2018-2022,Grant
Rural Arts North Yorkshire,1,75509,2020,2018-2022,Grant
Rural Media Charity,1,246500,2020,2018-2022,Grant
Russell Maliphant Company,1,249000,2020,2018-2022,Grant
Sadler's Wells,3,2456153,2020,2018-2022,Grant
Salisbury Arts Theatre Ltd,3,1277944,2020,2018-2022,Grant
Sampad (South Asian Arts Development),1,243906,2020,2018-2022,Grant
Scarborough Theatre Trust Ltd,2,637715,2020,2018-2022,Grant
Serendipity,1,210000,2020,2018-2022,Grant
Serious Events Limited,2,452778,2020,2018-2022,Grant
Serpentine Galleries,3,1193725,2020,2018-2022,Grant
"Seven Stories, The National Centre for Children's Books",2,577602,2020,2018-2022,Grant
Shademakers UK Carnival Club,1,50290,2020,2018-2022,Grant
Shakespeare Birthplace Trust,1,220000,2020,2018-2022,Grant
Shape London,2,286551,2020,2018-2022,Grant
Sheffield Doc/Fest,1,140750,2020,2018-2022,Grant
Sheffield Galleries & Museums Trust,2,800000,2020,2018-2022,Grant
Sheffield Theatres Trust Ltd,3,1279865,2020,2018-2022,Grant
Shobana Jeyasingh Dance Company,2,258732,2020,2018-2022,Grant
Shubbak: A Window on Contemporary Arab Culture,1,85000,2020,2018-2022,Grant
SICK! Productions,1,249500,2020,2018-2022,Grant
Sinfonietta Productions Limited,2,499565,2020,2018-2022,Grant
Siobhan Davies Dance,2,582018,2020,2018-2022,Grant
Site Gallery,2,314107,2020,2018-2022,Grant
Slung Low Limited,1,185141,2020,2018-2022,Grant
Small Green Shoots,1,120000,2020,2018-2022,Grant
Snape Maltings,3,1403019,2020,2018-2022,Grant
Society Of Chief Librarians,SSO,500000,2020,2018-2022,Grant
Soft Touch Arts Ltd,1,88510,2020,2018-2022,Grant
Soho Theatre Company,2,603478,2020,2018-2022,Grant
Somerset Art Works,1,90000,2020,2018-2022,Grant
Somerset Film and Video Ltd,1,87453,2020,2018-2022,Grant
Sonia Sabri Company,1,125034,2020,2018-2022,Grant
Sound UK Arts,1,100580,2020,2018-2022,Grant
SoundCity,1,200000,2020,2018-2022,Grant
South Asian Arts-uk,1,181000,2020,2018-2022,Grant
South East Dance Ltd,2,570169,2020,2018-2022,Grant
South East Museum Development Programme,SSO,511612,2020,2018-2022,Grant
South London Gallery,2,811415,2020,2018-2022,Grant
South West Museum Development,SSO,530444,2020,2018-2022,Grant
Southampton City Council,1,100000,2020,2018-2022,Grant
Southbank Centre,3,18360000,2020,2018-2022,Grant
Spare Tyre Theatre Company Ltd,1,150870,2020,2018-2022,Grant
Spike Island Artspace Ltd,2,280000,2020,2018-2022,Grant
Spitalfields Festival Ltd.,1,70000,2020,2018-2022,Grant
Spread the Word,1,197397,2020,2018-2022,Grant
Square Chapel Trust,1,156051,2020,2018-2022,Grant
ss Great Britain Trust,1,210000,2020,2018-2022,Grant
St Helens Council Library Service,1,110000,2020,2018-2022,Grant
St Pauls Carnival (Bristol) CIC,1,150000,2020,2018-2022,Grant
Stagetext,SSO,268773,2020,2018-2022,Grant
Stanley Picker Gallery,1,80000,2020,2018-2022,Grant
Stan's Cafe,1,156865,2020,2018-2022,Grant
Stockton Arts Centre Ltd,2,306091,2020,2018-2022,Grant
Stockton Borough Council Tees Valley Museum Group,2,375000,2020,2018-2022,Grant
Stockton International Riverside Festival,2,301356,2020,2018-2022,Grant
Stoke on Trent & North Staffordshire Theatre Trust,2,932401,2020,2018-2022,Grant
Stopgap Dance Company,2,276654,2020,2018-2022,Grant
Stratford Circus,2,301738,2020,2018-2022,Grant
Streetwise Opera,1,100580,2020,2018-2022,Grant
Strike A Light,1,85000,2020,2018-2022,Grant
Stroud Valleys Artspace,1,68947,2020,2018-2022,Grant
Studio 3 Arts,1,117993,2020,2018-2022,Grant
Studio Voltaire,1,67079,2020,2018-2022,Grant
Studio Wayne McGregor,2,515212,2020,2018-2022,Grant
Suffolk Libraries,1,176000,2020,2018-2022,Grant
Sunderland Culture,2,500000,2020,2018-2022,Grant
Sunshine International Arts,1,75000,2020,2018-2022,Grant
Swindon Dance,1,206200,2020,2018-2022,Grant
Take A Part CIC,1,50000,2020,2018-2022,Grant
Take Art Limited,1,160425,2020,2018-2022,Grant
Talawa Theatre Company Ltd,2,440305,2020,2018-2022,Grant
Talking Birds Theatre Company Limited,1,101748,2020,2018-2022,Grant
Tamasha Theatre Company,2,314465,2020,2018-2022,Grant
Tangle Ltd,1,101000,2020,2018-2022,Grant
Tangled Feet,1,192945,2020,2018-2022,Grant
Tara Arts,1,207194,2020,2018-2022,Grant
Tavaziva Dance,1,188505,2020,2018-2022,Grant
Teesside University,2,510757,2020,2018-2022,Grant
Tete a Tete,1,100580,2020,2018-2022,Grant
Thackray Medical Museum,1,221885,2020,2018-2022,Grant
Thames Festival Trust,1,150000,2020,2018-2022,Grant
the Albany,1,176015,2020,2018-2022,Grant
the Albany,SSO,130000,2020,2018-2022,Grant
The Alternative Theatre Company Ltd.,2,595281,2020,2018-2022,Grant
The Anvil Trust Ltd,1,138949,2020,2018-2022,Grant
The Artangel Trust,2,852333,2020,2018-2022,Grant
The Arts Depot Trust Ltd,2,301738,2020,2018-2022,Grant
The Ashton Group Theatre,1,80494,2020,2018-2022,Grant
The Audience Agency,SSO,750000,2020,2018-2022,Grant
The Bike Shed Theatre,1,75000,2020,2018-2022,Grant
The Bluecoat,2,486887,2020,2018-2022,Grant
The Bowes Museum,2,367807,2020,2018-2022,Grant
The Bronte Society,1,232500,2020,2018-2022,Grant
The Children's Bookshow,1,67079,2020,2018-2022,Grant
The Courtyard Trust,1,212861,2020,2018-2022,Grant
The Creative Art House,1,247087,2020,2018-2022,Grant
The Customs House,1,100678,2020,2018-2022,Grant
The DanceXchange Limited,2,760126,2020,2018-2022,Grant
The Devon Guild of Craftsmen,1,155557,2020,2018-2022,Grant
The Dukes Playhouse Ltd,2,256190,2020,2018-2022,Grant
The Forge,1,57496,2020,2018-2022,Grant
The Gate Theatre Company Ltd,2,306330,2020,2018-2022,Grant
The Geffrye Museum,1,240000,2020,2018-2022,Grant
The Hall For Cornwall Trust,2,376282,2020,2018-2022,Grant
The Hepworth Wakefield Trust,2,906101,2020,2018-2022,Grant
The Lawnmowers Independent Theatre Company,1,60998,2020,2018-2022,Grant
The Literary Consultancy,1,73985,2020,2018-2022,Grant
The Lowry Centre Trust,2,860000,2020,2018-2022,Grant
The Lyric Theatre Hammersmith Limited,3,1100000,2020,2018-2022,Grant
The Maltings Berwick Trust Limited,1,176387,2020,2018-2022,Grant
The Met,1,100580,2020,2018-2022,Grant
The Midi Music Company,1,117234,2020,2018-2022,Grant
The Mighty Creatives,SSO,862477,2020,2018-2022,Grant
The Ministry of Stories,1,89113,2020,2018-2022,Grant
The National Holocaust Centre and Museum,2,300000,2020,2018-2022,Grant
The National Youth Brass Band of Great Britain,1,61054,2020,2018-2022,Grant
The New Carnival Company CIC,1,76661,2020,2018-2022,Grant
The Octagon Theatre Trust,2,614060,2020,2018-2022,Grant
The Organisation for New Music and Sound,2,704659,2020,2018-2022,Grant
The Photographers' Gallery,2,902265,2020,2018-2022,Grant
The Poetry Archive,1,106614,2020,2018-2022,Grant
The Poetry School,1,140409,2020,2018-2022,Grant
The Poetry Society,2,354559,2020,2018-2022,Grant
The Point,1,125000,2020,2018-2022,Grant
The Pound Arts Trust Ltd,1,75435,2020,2018-2022,Grant
The Reader,1,175000,2020,2018-2022,Grant
The Reading Agency,2,475394,2020,2018-2022,Grant
The Robert Pacitti Company Ltd,2,266708,2020,2018-2022,Grant
The Roundhouse Trust,2,974713,2020,2018-2022,Grant
The Seachange Trust,2,390000,2020,2018-2022,Grant
The Showroom,1,127894,2020,2018-2022,Grant
The Southampton Nuffield Theatre Trust,2,974349,2020,2018-2022,Grant
The Spark Arts for Children,1,172866,2020,2018-2022,Grant
The Spring Arts & Heritage Centre,1,120000,2020,2018-2022,Grant
The Story Museum,1,175000,2020,2018-2022,Grant
The Tank Museum,1,120000,2020,2018-2022,Grant
The Theatre Orchard,1,90000,2020,2018-2022,Grant
The Wigmore Hall Trust,2,337987,2020,2018-2022,Grant
The Writing Squad,1,97743,2020,2018-2022,Grant
The Yard Theatre Ltd.,1,150000,2020,2018-2022,Grant
The York Early Music Foundation,2,270467,2020,2018-2022,Grant
Theatre Alibi,1,241597,2020,2018-2022,Grant
Theatre Bristol Ltd,1,106985,2020,2018-2022,Grant
Theatre Centre,1,240000,2020,2018-2022,Grant
Theatre de Complicite Education Ltd,2,363622,2020,2018-2022,Grant
Theatre Hullabaloo,2,250318,2020,2018-2022,Grant
Theatre in the Mill,1,120171,2020,2018-2022,Grant
Theatre Peckham,1,142924,2020,2018-2022,Grant
Theatre Royal (Plymouth) Ltd,3,1185500,2020,2018-2022,Grant
Theatre-Rites,1,240389,2020,2018-2022,Grant
Third Angel,1,120000,2020,2018-2022,Grant
Threshold Studios,1,80464,2020,2018-2022,Grant
Tiata Fahodzi Ltd,1,210000,2020,2018-2022,Grant
TIN Arts,1,81453,2020,2018-2022,Grant
Tobacco Factory Theatres,1,60348,2020,2018-2022,Grant
Together! 2012 CIC,1,60000,2020,2018-2022,Grant
Told by an Idiot,1,168214,2020,2018-2022,Grant
Tom Dale Company,1,157600,2020,2018-2022,Grant
Tomorrow's Warriors Ltd,1,208744,2020,2018-2022,Grant
Towner Art Gallery,2,359350,2020,2018-2022,Grant
Travaux Sauvages Ltd t/a Wildworks,1,206189,2020,2018-2022,Grant
Travelling Light Theatre Company,1,202000,2020,2018-2022,Grant
Triangle Arts Trust,2,284866,2020,2018-2022,Grant
Tricycle Theatre,2,829519,2020,2018-2022,Grant
Tullie House Museum and Art Gallery,3,1165861,2020,2018-2022,Grant
Turner Contemporary,2,669473,2020,2018-2022,Grant
"Turner Sims, Southampton",1,43122,2020,2018-2022,Grant
tutti frutti productions,1,178703,2020,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,156936,2020,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,500000,2020,2018-2022,Grant
Tyne & Wear Archives & Museums,3,3136929,2020,2018-2022,Grant
Tyneside Cinema,1,124275,2020,2018-2022,Grant
UK Young Artists,1,150000,2020,2018-2022,Grant
Unfolding Theatre,1,105000,2020,2018-2022,Grant
Unicorn Theatre (Caryl Jenner Productions),3,1303884,2020,2018-2022,Grant
Unity Theatre,2,272000,2020,2018-2022,Grant
University of Cambridge Museums,3,1212754,2020,2018-2022,Grant
University of Derby Theatre limited,2,795000,2020,2018-2022,Grant
"University of Leicester, Attenborough Arts Centre",1,207000,2020,2018-2022,Grant
University of Oxford,3,1316938,2020,2018-2022,Grant
University of the Arts London – Afterall,1,70641,2020,2018-2022,Grant
University of the Arts London (trading as Artquest),SSO,125054,2020,2018-2022,Grant
University of Warwick,2,492114,2020,2018-2022,Grant
Unlimited Theatre,1,166119,2020,2018-2022,Grant
UP Projects,1,100580,2020,2018-2022,Grant
Upswing Aerial Limited,1,115667,2020,2018-2022,Grant
Urban Development Ltd,1,150870,2020,2018-2022,Grant
Vamos Theatre Company,1,200000,2020,2018-2022,Grant
Vane Contemporary Art Limited,1,60406,2020,2018-2022,Grant
Venture Arts,1,105000,2020,2018-2022,Grant
Vincent Dance Theatre,1,249999,2020,2018-2022,Grant
Vital Xposure,1,100580,2020,2018-2022,Grant
Viva Chamber Orchestra Ltd,1,192107,2020,2018-2022,Grant
Vivid Projects,1,74500,2020,2018-2022,Grant
VocalEyes,SSO,223811,2020,2018-2022,Grant
Voluntary Arts Network,SSO,165827,2020,2018-2022,Grant
Wakefield Council – Museums,1,205000,2020,2018-2022,Grant
Walk The Plank,1,145657,2020,2018-2022,Grant
Walsall Council,2,881487,2020,2018-2022,Grant
Wasafiri Ltd,1,59413,2020,2018-2022,Grant
Watermill Theatre,2,450386,2020,2018-2022,Grant
Watershed Arts Trust Ltd,2,744289,2020,2018-2022,Grant
Waterside Artists Co-operative Limited,1,67079,2020,2018-2022,Grant
Watts Gallery Trust,1,100000,2020,2018-2022,Grant
Wavendon Allmusic Plan Ltd,2,379223,2020,2018-2022,Grant
Welsh National Opera,3,6123000,2020,2018-2022,Grant
West Yorkshire Print Workshop,1,54366,2020,2018-2022,Grant
Whitechapel Gallery,3,1510168,2020,2018-2022,Grant
Whitstable Biennale,1,240000,2020,2018-2022,Grant
Wiltshire Music Centre Trust Ltd,1,101675,2020,2018-2022,Grant
Wired Aerial Theatre Ltd,1,165000,2020,2018-2022,Grant
Wise Children,2,475000,2020,2018-2022,Grant
Without Walls,3,1200000,2020,2018-2022,Grant
Wolverhampton City Council,1,167755,2020,2018-2022,Grant
Woodhorn Charitable Trust,1,200000,2020,2018-2022,Grant
Workplace Foundation,1,105409,2020,2018-2022,Grant
World Heart Beat Music Academy,1,85000,2020,2018-2022,Grant
Writers' Centre Norwich,2,498405,2020,2018-2022,Grant
Writing East Midlands,1,125725,2020,2018-2022,Grant
Writing on the Wall,1,76661,2020,2018-2022,Grant
Writing West Midlands,1,181044,2020,2018-2022,Grant
Wysing Arts Centre,2,456768,2020,2018-2022,Grant
Yaram Arts CIC,1,79900,2020,2018-2022,Grant
Yellow Earth Theatre Company,1,175000,2020,2018-2022,Grant
York Citizen's Theatre Trust,2,587254,2020,2018-2022,Grant
York Museums Trust,SSO,338982,2020,2018-2022,Grant
York Museums Trust,3,1230000,2020,2018-2022,Grant
Yorkshire Artspace Society Ltd,1,71870,2020,2018-2022,Grant
Yorkshire Dance Centre Trust,2,325794,2020,2018-2022,Grant
Yorkshire Sculpture Park,3,1312646,2020,2018-2022,Grant
Young Vic Company,3,1760143,2020,2018-2022,Grant
Youth Music Theatre UK,1,77519,2020,2018-2022,Grant
Z-arts,2,255000,2020,2018-2022,Grant
ZENDEH Productions,1,100678,2020,2018-2022,Grant
ZoieLogic Dance Theatre,1,195300,2020,2018-2022,Grant
ZooNation Ltd,1,249999,2020,2018-2022,Grant
1927,1,217000,2021,2018-2022,Grant
2 Faced Dance Company Limited,1,192000,2021,2018-2022,Grant
20 Stories High,1,211905,2021,2018-2022,Grant
A New Direction London Limited,SSO,1506375,2021,2018-2022,Grant
A Space Arts,1,100000,2021,2018-2022,Grant
AA2A Limited,SSO,40000,2021,2018-2022,Grant
Abandon Normal Devices,1,135000,2021,2018-2022,Grant
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,106552,2021,2018-2022,Grant
Access All Areas,1,125000,2021,2018-2022,Grant
ACE Dance and music,2,397996,2021,2018-2022,Grant
acta community theatre ltd,1,80000,2021,2018-2022,Grant
Action Hero,1,92000,2021,2018-2022,Grant
Action Space London Events,1,88416,2021,2018-2022,Grant
Action Transport Theatre,1,120696,2021,2018-2022,Grant
Activate Performing Arts Ltd,2,279250,2021,2018-2022,Grant
Actors Touring Company,1,207773,2021,2018-2022,Grant
Africa Oye Limited,1,163449,2021,2018-2022,Grant
AIR in G (Arts in Rural Gloucestershire) Ltd,1,42243,2021,2018-2022,Grant
Akademi,1,215000,2021,2018-2022,Grant
Akram Khan Dance Company,2,500610,2021,2018-2022,Grant
Albatross Arts Project,1,40232,2021,2018-2022,Grant
Almeida Theatre Company Limited,2,675499,2021,2018-2022,Grant
Amber Film & Photography Collective,1,120000,2021,2018-2022,Grant
a-n The Artists Information Company,SSO,212754,2021,2018-2022,Grant
And Other Stories Publishing CIC,1,74000,2021,2018-2022,Grant
Applause Rural Touring,1,145000,2021,2018-2022,Grant
Apples and Snakes,2,455000,2021,2018-2022,Grant
Arcola Theatre Production Company,2,301738,2021,2018-2022,Grant
Arena Theatre (University of Wolverhampton),1,110069,2021,2018-2022,Grant
Art Asia Trust Limited,1,95827,2021,2018-2022,Grant
Art Gene Limited,1,110000,2021,2018-2022,Grant
Art Monthly,1,40232,2021,2018-2022,Grant
Art Services Grants Ltd,1,221221,2021,2018-2022,Grant
Artcore,1,160000,2021,2018-2022,Grant
Artichoke Trust,2,468134,2021,2018-2022,Grant
Artlink Hull,1,65347,2021,2018-2022,Grant
Artlink West Yorkshire,1,60406,2021,2018-2022,Grant
ArtReach (Trust) Ltd,2,350000,2021,2018-2022,Grant
Arts & Health South West,1,40000,2021,2018-2022,Grant
Arts & Health South West,SSO,95000,2021,2018-2022,Grant
Arts & Heritage (PHC) Plymouth City Council,3,1036500,2021,2018-2022,Grant
Arts Alive,1,58781,2021,2018-2022,Grant
Arts Catalyst,1,130000,2021,2018-2022,Grant
Arts Connect (University of Wolverhampton),SSO,1089890,2021,2018-2022,Grant
Arts Marketing Association,SSO,235643,2021,2018-2022,Grant
Arts&Heritage,SSO,235000,2021,2018-2022,Grant
Artsadmin,2,533072,2021,2018-2022,Grant
Artsreach,1,55319,2021,2018-2022,Grant
Artswork,SSO,1519397,2021,2018-2022,Grant
Artworks Creative Communities,1,57496,2021,2018-2022,Grant
Arvon Foundation,2,388267,2021,2018-2022,Grant
Asian Arts Agency,2,280870,2021,2018-2022,Grant
Aspex Visual Arts Trust,1,112117,2021,2018-2022,Grant
Association for Cultural Enterprises,SSO,198000,2021,2018-2022,Grant
Association of Independent Museums,SSO,300000,2021,2018-2022,Grant
Attitude is Everything,SSO,249700,2021,2018-2022,Grant
Aurora Orchestra,1,91829,2021,2018-2022,Grant
Auto Italia,1,50290,2021,2018-2022,Grant
Autograph ABP,2,700000,2021,2018-2022,Grant
Avant Garde Dance Company,1,221250,2021,2018-2022,Grant
B3 Media Limited,1,180000,2021,2018-2022,Grant
Baby People,1,48418,2021,2018-2022,Grant
Backlit,1,75000,2021,2018-2022,Grant
Balbir Singh Dance Company,1,150460,2021,2018-2022,Grant
Ballet Black,1,220000,2021,2018-2022,Grant
Ballet Lorent Limited,2,399968,2021,2018-2022,Grant
BalletBoyz Ltd,2,300000,2021,2018-2022,Grant
Baltic Flour Mills Visual Arts Trust,3,3158000,2021,2018-2022,Grant
Bamboozle Theatre Company,1,200000,2021,2018-2022,Grant
Barbican Centre,2,480000,2021,2018-2022,Grant
"Barbican Theatre, Plymouth",1,195120,2021,2018-2022,Grant
Barnsley Civic Enterprise Ltd,1,160000,2021,2018-2022,Grant
Barnsley Museums,2,466500,2021,2018-2022,Grant
Battersea Arts Centre,2,693897,2021,2018-2022,Grant
BCB,1,175000,2021,2018-2022,Grant
BE FESTIVAL CIC,1,145000,2021,2018-2022,Grant
Beaford Arts,1,95894,2021,2018-2022,Grant
Beamish Museum,2,436776,2021,2018-2022,Grant
Beatfreeks,1,124600,2021,2018-2022,Grant
Beavers Arts Ltd.,1,80000,2021,2018-2022,Grant
Bedford Creative Arts,1,143740,2021,2018-2022,Grant
Belgrade Theatre Trust (Coventry) Ltd,2,942215,2021,2018-2022,Grant
Bermondsey Artists’ Group,1,134006,2021,2018-2022,Grant
Bernard Leach Trust Limited  (Leach Pottery),1,40000,2021,2018-2022,Grant
Berwick Film & Media Arts Festival,1,70000,2021,2018-2022,Grant
Bharatiya Vidya Bhavan Ltd,1,128999,2021,2018-2022,Grant
Eastside Projects,1,123415,2021,2018-2022,Grant
Birmingham Contemporary Music Group,2,319653,2021,2018-2022,Grant
Birmingham LGBT,1,91500,2021,2018-2022,Grant
Birmingham Museums Trust,3,1007568,2021,2018-2022,Grant
Birmingham Opera Company,2,477644,2021,2018-2022,Grant
Birmingham Repertory Theatre,3,1833953,2021,2018-2022,Grant
Birmingham Royal Ballet,3,7891000,2021,2018-2022,Grant
Black Bird/Red Rose Productions,1,200000,2021,2018-2022,Grant
Black Country Living Museum Trust,2,550000,2021,2018-2022,Grant
Black Country Touring,1,143497,2021,2018-2022,Grant
Blackpool Grand Theatre (Arts & Entertainment) Ltd,1,209992,2021,2018-2022,Grant
Blast Theory,1,134157,2021,2018-2022,Grant
Blind Summit Education,1,75435,2021,2018-2022,Grant
Bloodaxe Books Ltd,1,92032,2021,2018-2022,Grant
Blue Elephant Theatre,1,72500,2021,2018-2022,Grant
BOM (Birmingham Open Media),1,142600,2021,2018-2022,Grant
Book Works,1,176512,2021,2018-2022,Grant
Borough of Poole Museum Service,2,319500,2021,2018-2022,Grant
Boundless Theatre,1,186063,2021,2018-2022,Grant
Bournemouth Borough Council,1,150000,2021,2018-2022,Grant
Bournemouth Symphony Orchestra,3,2554790,2021,2018-2022,Grant
Bow Arts Trust,1,50290,2021,2018-2022,Grant
Boy Blue Entertainment,1,200000,2021,2018-2022,Grant
Brass Bands England,SSO,207000,2021,2018-2022,Grant
Bridport Arts Centre,1,57412,2021,2018-2022,Grant
Brighton & Hove City Council,2,698507,2021,2018-2022,Grant
Brighton Dome & Festival Limited,3,1149921,2021,2018-2022,Grant
Bristol Cultural Development Partnership,1,50290,2021,2018-2022,Grant
Bristol Museums,3,1339670,2021,2018-2022,Grant
Bristol Music Trust,2,325000,2021,2018-2022,Grant
Bristol Old Vic and Theatre Royal Trust Ltd,3,1228381,2021,2018-2022,Grant
British Motor Industry Heritage Trust,1,220000,2021,2018-2022,Grant
British Underground Ltd,1,151406,2021,2018-2022,Grant
British Youth Opera,1,42621,2021,2018-2022,Grant
Britten Sinfonia,2,399261,2021,2018-2022,Grant
Brownswood Music Ltd,1,89000,2021,2018-2022,Grant
b-side Multimedia Festival CIC,1,133651,2021,2018-2022,Grant
Bucks County Museum,1,100000,2021,2018-2022,Grant
Bureau of Silly Ideas,1,40232,2021,2018-2022,Grant
Burnley Youth Theatre,1,63365,2021,2018-2022,Grant
Burton Art Gallery and Museum,1,83600,2021,2018-2022,Grant
Buxton Arts Festival Ltd,1,120000,2021,2018-2022,Grant
Camden Arts Centre,2,919673,2021,2018-2022,Grant
Camden People's Theatre,1,70000,2021,2018-2022,Grant
Candoco Dance Company,2,447889,2021,2018-2022,Grant
CapeUK,SSO,1024721,2021,2018-2022,Grant
Capsule Events Ltd,1,175000,2021,2018-2022,Grant
Carcanet Press Limited,1,120696,2021,2018-2022,Grant
Cardboard Citizens,1,160000,2021,2018-2022,Grant
Carnival Village Trust,2,400000,2021,2018-2022,Grant
Carousel Project,1,197488,2021,2018-2022,Grant
Cast,2,320000,2021,2018-2022,Grant
Castlefield Gallery,1,70000,2021,2018-2022,Grant
Cause4,SSO,500000,2021,2018-2022,Grant
Centre for Chinese Contemporary Art,2,287481,2021,2018-2022,Grant
Chapel Arts Studios,1,145002,2021,2018-2022,Grant
Charnwood Arts,1,131759,2021,2018-2022,Grant
Chatham Historic Dockyard Trust,1,245000,2021,2018-2022,Grant
Cheek by Jowl,1,245677,2021,2018-2022,Grant
Cheltenham Festivals,1,213551,2021,2018-2022,Grant
Cheshire Dance,1,88208,2021,2018-2022,Grant
Cheshire West and Chester Council,1,87398,2021,2018-2022,Grant
Chester Performing Arts Centre Ltd,1,223895,2021,2018-2022,Grant
