Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Hounslow Arts Trust Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Huddersfield Contemporary Music Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Hull City Council,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Hull Truck Theatre,2,LOT,National Lottery,Band 2,True,False,False,False,False
Ikon Gallery,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Ilkley Literature Festival Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
ILUVLIVE,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
imitating the dog,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Impressions Gallery of Photography Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Improbable,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
In Between Time,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Index on Censorship,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Inner City Music Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Inpress Ltd,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
