Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Mercury Musical Developments,SSO,,http://www.mercurymusicals.com,Camden,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Theatre,True,False,False,False,False
Metal Culture Ltd,2,,http://www.metalculture.com,Southend-on-Sea,South East,East,East of England,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Metro-Boulot-Dodo Limited,1,,http://www.metro-boulot-dodo.com,Leicester,Midlands,East Midlands,East Midlands,LOT,National Lottery,Band 1,Combined arts,False,False,False,False,False
MeWe Foundation,SSO,,http://www.mewe360.com,Westminster,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Middle Child,1,Middle Child Theatre Limited,http://www.middlechildtheatre.co.uk,"Kingston upon Hull, City of",North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Middlesbrough Town Hall,1,Middlesbrough Borough Council,http://www.middlesbroughtownhallonline.co.uk,Middlesbrough,North,North East,North East,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Midlands Arts Centre,2,,http://www.macbirmingham.co.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
MIF,3,Manchester International Festival,http://www.mif.co.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 3,Combined arts,True,False,False,False,False
Mikron Theatre Company,1,,http://www.mikron.org.uk,Kirklees,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Milap Festival Trust,2,,http://www.milapfest.com,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,True,False
Milton Keynes Arts Centre LTD,1,,http://www.miltonkeynesartscentre.org,Milton Keynes,South East,South East,South East,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Mimbre,1,,http://www.mimbre.co.uk,Hackney,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Mind the Gap,1,,http://www.mind-the-gap.org.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Miracle Theatre Trust Ltd,1,,http://www.miracletheatre.co.uk,Cornwall,South West,South West,South West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
MK Gallery,2,,http://www.mkgallery.org,Milton Keynes,South East,South East,South East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Modern Art Oxford,2,,http://www.modernartoxford.org.uk,Oxford,South East,South East,South East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Modern Masterpieces,1,,http://www.michaelclarkcompany.com,City of London,London,London,London,LOT,National Lottery,Band 1,Dance,True,False,False,False,False
Modern Poetry in Translation,1,,http://www.mptmagazine.com,Oxford,South East,South East,South East,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
More Music,1,More Music in Morecambe,http://www.moremusic.org.uk,Lancaster,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Motionhouse,2,,http://motionhouse.co.uk,Warwick,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Multistory,1,,http://www.multistory.org.uk,Sandwell,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Museum of East Anglian Life,1,,http://www.eastanglianlife.org.uk,Mid Suffolk,South East,East,East of England,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Museum of English Rural Life and Reading Museum Partnership,1,University of Reading and Reading Borough Council,http://www.reading.ac.uk/TheMERL,Reading,South East,South East,South East,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Museum of London,SSO,,http://www.museumoflondon.org.uk,City of London,London,London,London,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,False,False,True
Museum of London,3,,http://www.museumoflondon.org.uk,City of London,London,London,London,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
Music for Youth,1,,http://www.mfy.org.uk/,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Music in the Round,1,,http://www.musicintheround.co.uk,Sheffield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Musiko Musika,1,,http://www.musikomusika.org,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Mytime Active,1,,http://www.artstrain.org,Bromley,London,London,London,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
